EnsemblID,UniProtID,GeneSymbolID,PathwayStId,PathwayDisplayName,PathwayReactomeLink
ENSG00000066405,P56856,CLDN18,R-HSA-420029,Tight junction interactions,https://reactome.org/PathwayBrowser/#/R-HSA-420029
ENSG00000158850,O60512,B4GALT3,R-HSA-2022854,Keratan sulfate biosynthesis,https://reactome.org/PathwayBrowser/#/R-HSA-2022854
ENSG00000158850,O60512,B4GALT3,R-HSA-975577,N-Glycan antennae elongation,https://reactome.org/PathwayBrowser/#/R-HSA-975577
ENSG00000134533,,RERG,,,
ENSG00000175806,Q9UJ68,MSRA,R-HSA-5676934,Protein repair,https://reactome.org/PathwayBrowser/#/R-HSA-5676934
ENSG00000175063,O00762,UBE2C,R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,https://reactome.org/PathwayBrowser/#/R-HSA-141430
ENSG00000175063,O00762,UBE2C,R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,https://reactome.org/PathwayBrowser/#/R-HSA-174048
ENSG00000175063,O00762,UBE2C,R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,https://reactome.org/PathwayBrowser/#/R-HSA-174084
ENSG00000175063,O00762,UBE2C,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,https://reactome.org/PathwayBrowser/#/R-HSA-174154
ENSG00000175063,O00762,UBE2C,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,https://reactome.org/PathwayBrowser/#/R-HSA-174178
ENSG00000175063,O00762,UBE2C,R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,https://reactome.org/PathwayBrowser/#/R-HSA-174184
ENSG00000175063,O00762,UBE2C,R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,https://reactome.org/PathwayBrowser/#/R-HSA-176407
ENSG00000175063,O00762,UBE2C,R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase,https://reactome.org/PathwayBrowser/#/R-HSA-176408
ENSG00000175063,O00762,UBE2C,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,https://reactome.org/PathwayBrowser/#/R-HSA-176409
ENSG00000175063,O00762,UBE2C,R-HSA-176412,Phosphorylation of the APC/C,https://reactome.org/PathwayBrowser/#/R-HSA-176412
ENSG00000175063,O00762,UBE2C,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,https://reactome.org/PathwayBrowser/#/R-HSA-179409
ENSG00000175063,O00762,UBE2C,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000175063,O00762,UBE2C,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),https://reactome.org/PathwayBrowser/#/R-HSA-2559582
ENSG00000175063,O00762,UBE2C,R-HSA-68867,Assembly of the pre-replicative complex,https://reactome.org/PathwayBrowser/#/R-HSA-68867
ENSG00000175063,O00762,UBE2C,R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,https://reactome.org/PathwayBrowser/#/R-HSA-69017
ENSG00000175063,O00762,UBE2C,R-HSA-8853884,Transcriptional Regulation by VENTX,https://reactome.org/PathwayBrowser/#/R-HSA-8853884
ENSG00000175063,O00762,UBE2C,R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,https://reactome.org/PathwayBrowser/#/R-HSA-8866652
ENSG00000175063,O00762,UBE2C,R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,https://reactome.org/PathwayBrowser/#/R-HSA-9687136
ENSG00000175063,O00762,UBE2C,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,https://reactome.org/PathwayBrowser/#/R-HSA-983168
ENSG00000198932,,GPRASP1,,,
ENSG00000105173,P24864,CCNE1,R-HSA-1538133,G0 and Early G1,https://reactome.org/PathwayBrowser/#/R-HSA-1538133
ENSG00000105173,P24864,CCNE1,R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,https://reactome.org/PathwayBrowser/#/R-HSA-187577
ENSG00000105173,P24864,CCNE1,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,https://reactome.org/PathwayBrowser/#/R-HSA-2559586
ENSG00000105173,P24864,CCNE1,R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,https://reactome.org/PathwayBrowser/#/R-HSA-390471
ENSG00000105173,P24864,CCNE1,R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,https://reactome.org/PathwayBrowser/#/R-HSA-6804116
ENSG00000105173,P24864,CCNE1,R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,https://reactome.org/PathwayBrowser/#/R-HSA-69017
ENSG00000105173,P24864,CCNE1,R-HSA-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,https://reactome.org/PathwayBrowser/#/R-HSA-69200
ENSG00000105173,P24864,CCNE1,R-HSA-69202,Cyclin E associated events during G1/S transition ,https://reactome.org/PathwayBrowser/#/R-HSA-69202
