Cancer,Comparison,Signature
Breast,NormalvsStageI,ENSG00000143196;ENSG00000117475;ENSG00000134371;ENSG00000000971;ENSG00000244414;ENSG00000116962;ENSG00000108094;ENSG00000244734;ENSG00000213934;ENSG00000196565;ENSG00000182326;ENSG00000197614;ENSG00000161813;ENSG00000155957;ENSG00000139289;ENSG00000187109;ENSG00000139329;ENSG00000011465;ENSG00000111358;ENSG00000231607;ENSG00000187498;ENSG00000166147;ENSG00000074410;ENSG00000103876;ENSG00000188536;ENSG00000206172;ENSG00000183044;ENSG00000185947;ENSG00000275385;ENSG00000171345;ENSG00000186847;ENSG00000108821;ENSG00000168542;ENSG00000204262;ENSG00000115414;ENSG00000101335;ENSG00000142173;ENSG00000211677;ENSG00000211679;ENSG00000169255;ENSG00000177565;ENSG00000181092;ENSG00000100867;ENSG00000196611;ENSG00000038427;ENSG00000163879;ENSG00000188529;ENSG00000211890;ENSG00000211895;ENSG00000164434;ENSG00000112339;ENSG00000080986;ENSG00000106819;ENSG00000141682;ENSG00000105664;ENSG00000196616;ENSG00000120251;ENSG00000112936;ENSG00000112992;ENSG00000185896;ENSG00000183087;ENSG00000104205;ENSG00000163453;ENSG00000151247;ENSG00000187325;ENSG00000116830;ENSG00000060718;ENSG00000137975;ENSG00000148943;ENSG00000030066;ENSG00000149485;ENSG00000170323;ENSG00000180447;ENSG00000113140;ENSG00000113739;ENSG00000146070;ENSG00000008196;ENSG00000106355;ENSG00000122641;ENSG00000001631;ENSG00000127993;ENSG00000164692;ENSG00000128609;ENSG00000171428;ENSG00000175445
Breast,NormalvsStageII,ENSG00000184330;ENSG00000143556;ENSG00000066279;ENSG00000135374;ENSG00000149485;ENSG00000111206;ENSG00000185479;ENSG00000166426;ENSG00000131747;ENSG00000176887;ENSG00000100146;ENSG00000118849;ENSG00000007062;ENSG00000069011;ENSG00000094755;ENSG00000096006;ENSG00000168078;ENSG00000158164;ENSG00000102243;ENSG00000121957
Breast,NormalvsStageIII,ENSG00000133048;ENSG00000092531;ENSG00000086548;ENSG00000169442
Colorectal,NormalvsStageI,ENSG00000101000;ENSG00000137462;ENSG00000116704;ENSG00000076716;ENSG00000105835;ENSG00000188549;ENSG00000130150;ENSG00000145246;ENSG00000260032;ENSG00000115761;ENSG00000116157;ENSG00000188010;ENSG00000176953;ENSG00000147234;ENSG00000291040;ENSG00000101052;ENSG00000137752;ENSG00000134184;ENSG00000198712;ENSG00000213366;ENSG00000256229;ENSG00000125968;ENSG00000106069;ENSG00000255423;ENSG00000221813;ENSG00000168096;ENSG00000168765;ENSG00000162627;ENSG00000162073;ENSG00000225855;ENSG00000066032;ENSG00000130066;ENSG00000008838;ENSG00000231806;ENSG00000164299
Colorectal,NormalvsStageII,ENSG00000124253;ENSG00000122121;ENSG00000237940;ENSG00000101460;ENSG00000160888;ENSG00000101199;ENSG00000204946;ENSG00000099769;ENSG00000138356;ENSG00000086544;ENSG00000186648;ENSG00000132819;ENSG00000123154;ENSG00000163930;ENSG00000063322;ENSG00000187240;ENSG00000169242;ENSG00000163932
Colorectal,NormalvsStageIII,ENSG00000104055;ENSG00000270419;ENSG00000230461;ENSG00000251383;ENSG00000127743
Colorectal,NormalvsStageIV,ENSG00000204287;ENSG00000162188;ENSG00000162654;ENSG00000138755;ENSG00000167555;ENSG00000247095;ENSG00000196126;ENSG00000131165;ENSG00000143761;ENSG00000164346;ENSG00000204257;ENSG00000157895;ENSG00000248339;ENSG00000177595;ENSG00000061656;ENSG00000106089;ENSG00000100288;ENSG00000080823;ENSG00000128203;ENSG00000204179;ENSG00000105963;ENSG00000161277;ENSG00000130529;ENSG00000160917;ENSG00000114268;ENSG00000185359;ENSG00000227868;ENSG00000130429;ENSG00000179111;ENSG00000164889;ENSG00000009950;ENSG00000106348;ENSG00000291151;ENSG00000111325;ENSG00000163703;ENSG00000002726;ENSG00000164896;ENSG00000155256
Prostate,NormalvsStageI,ENSG00000169139;ENSG00000100330
Prostate,NormalvsStageII,ENSG00000173264;ENSG00000241852;ENSG00000221829;ENSG00000174405;ENSG00000006007;ENSG00000038945;ENSG00000143367;ENSG00000131018;ENSG00000166897;ENSG00000100300;ENSG00000164919;ENSG00000157551;ENSG00000160404;ENSG00000161180
Prostate,NormalvsStageIII,ENSG00000117625;ENSG00000140832;ENSG00000131788;ENSG00000198585;ENSG00000162227;ENSG00000176148;ENSG00000122085
Prostate,NormalvsStageIV,ENSG00000088367
